Quarter,Total Revenue
Q1 2016,1147048
Q2 2016,1270017
Q3 2016,2298436
Q4 2016,2284631
Q1 2017,2696270
Q2 2017,2789557
Q3 2017,2984675
Q4 2017,3288249
Q1 2018,3408751
Q2 2018,4002231
Q3 2018,6824413
Q4 2018,7225873
Q1 2019,4541464
Q2 2019,6349676
Q3 2019,6303000
Q4 2019,7384000
Q1 2020,5985000
Q2 2020,6036000
Q3 2020,8771000
Q4 2020,10744000
Q1 2021,10389000
Q2 2021,11958000
Q3 2021,13757000
Q4 2021,17719000
Q1 2022,18756000
Q2 2022,16934000
Q3 2022,21454000
Q4 2022,24318000
Q1 2023,23329000
Q2 2023,24927000
Q3 2023,23350000
Q4 2023,25167000
Q1 2024,21301000
